student_ID,accuracy_submit,accuracy_problem
0088dc183f73c83f763e,0.20930232558139536,1.0
00cbf05221bb479e66c3,0.19166666666666668,1.0
00df647ee4bf7173642f,0.1108786610878661,1.0
0107f72b66cbd1a0926d,0.3277310924369748,1.0
011d454f199c123d44ad,0.19607843137254902,1.0
01558eef77a8d39b7103,0.2827586206896552,1.0
016226278e6a69e10aa4,0.15810276679841898,1.0
01a691413dc5897db83f,0.08103130755064457,1.0
01d8aa21ef476b66c573,0.23076923076923078,1.0
01qkq6w2v62cimidb3b7,0.2047244094488189,0.5714285714285714
02068067a434adb6556a,0.0,0.0
0258f681a9e1756dfc76,0.10633946830265849,1.0
03754dce5ec7731fb3e2,0.32113821138211385,1.0
037a76bc8e6bf5fe1fc0,0.926829268292683,1.0
03aa0b20dd4af1888eef,0.2134387351778656,1.0
03b463f52c0fff35433b,0.5555555555555556,1.0
03e0c9bff3a9557480d9,0.24615384615384617,0.8333333333333334
04f2689b4ea16d8d7d9a,0.07248764415156507,0.7631578947368421
0557b1363a5092b5811f,0.116,1.0
056ab41140f68c15db14,0.16793893129770993,1.0
058c03d945c4ae0978a0,0.45977011494252873,1.0
05e1c3ce1728da7e37e0,0.16556291390728478,0.9166666666666666
05e6d9723ab3cde0841d,0.07166666666666667,1.0
061db2c91f94c612f2d4,0.59375,1.0
06309f4c8785254f4c13,0.4810126582278481,1.0
06aff3e28c5db152f506,0.460431654676259,1.0
071685b292483b04e836,0.4878048780487805,1.0
074d7f43de7264306775,0.19811320754716982,0.9210526315789473
077d5c82c9ee5019220f,0.34782608695652173,1.0
07e3362d20ff4337671b,0.5,1.0
091554ffa26fc9b17c36,0.5733333333333334,1.0
09400a9b50b6c96c5510,0.313953488372093,1.0
098b2c66cbc1ed736e14,0.3235294117647059,1.0
0999173c045ee29a0b44,0.35714285714285715,1.0
09dfa3f18e48917f0242,0.138328530259366,1.0
09e4bfadd7e012c37c7c,0.3591549295774648,1.0
0a7f1a73361654329281,0.32786885245901637,1.0
0a8736f6520cea837d94,0.13782051282051283,1.0
0b02f701b1179f9f74f9,0.2360248447204969,1.0
0b16d35f1f39a063708a,0.1225,1.0
0b28c0a454678b75eefb,0.6385542168674698,1.0
0b307ee95b41e222f204,0.2994011976047904,1.0
0b828e1ae026c57b34dd,0.4431818181818182,1.0
0b8bea274b24847526b7,0.3627450980392157,0.9473684210526315
0bb8692f43a372e8d967,0.4715447154471545,1.0
0c57caf5358d30408034,0.20967741935483872,1.0
0c670262b3941d307600,0.2620689655172414,1.0
0c81ca27b7d931b6ff6e,0.1889400921658986,1.0
0d260d8fac2289c8ed9e,0.1780821917808219,1.0
0d4a3518a188f6888380,0.8181818181818182,1.0
0df40593e76a840fd64b,0.12322274881516587,1.0
0e062d9fa22dc8e3bca2,0.4634146341463415,1.0
0e804947f4cdc2721046,0.30985915492957744,1.0
0eb6eec8b4bee8ab6a44,0.2857142857142857,1.0
0ef8b2c9e039eaace596,0.25268817204301075,1.0
0f160cd19890b97092b9,0.3445378151260504,1.0
